time,pwmValue,position
773,0,149
774,0,149
776,0,149
777,0,149
778,0,149
780,0,149
781,0,148
782,0,148
784,0,148
785,0,148
787,0,148
788,0,148
789,0,148
791,0,148
792,0,147
794,0,147
795,0,147
796,0,147
798,0,147
799,0,147
801,0,147
802,0,146
803,0,146
805,0,146
806,0,146
808,0,146
809,0,146
811,0,145
813,0,145
814,0,145
816,0,145
817,0,145
818,0,145
820,0,144
821,0,144
823,0,144
824,0,144
825,0,144
827,0,143
828,0,143
830,0,143
831,0,143
832,0,143
834,0,142
835,0,142
837,0,142
838,0,142
839,0,142
841,0,142
842,0,141
844,0,141
845,0,141
846,0,141
848,0,140
849,0,140
851,0,140
852,0,140
854,0,140
856,0,139
857,0,139
859,0,139
860,0,139
861,0,138
863,0,138
864,0,138
866,0,138
867,0,138
868,0,137
870,0,137
871,0,137
873,0,137
874,0,136
875,0,136
877,0,136
878,0,136
880,0,135
881,0,135
882,0,135
884,0,135
885,0,135
887,0,134
888,0,134
889,0,134
891,0,133
892,0,133
894,0,133
896,0,133
897,0,132
899,0,132
900,0,132
902,0,132
903,0,131
904,0,131
906,0,131
907,0,131
909,0,130
910,0,130
911,0,130
913,0,129
914,0,129
916,0,129
917,0,129
918,0,128
920,0,128
921,0,128
923,0,127
924,0,127
925,0,127
927,0,127
928,0,126
930,0,126
931,0,126
932,0,125
934,0,125
935,0,125
937,0,125
939,0,124
940,0,124
942,0,124
943,0,123
945,0,123
946,0,123
947,0,122
949,0,122
950,0,122
952,0,122
953,0,121
954,0,121
956,0,121
957,0,120
959,0,120
960,0,120
961,0,119
963,0,119
964,0,119
966,0,118
967,0,118
968,0,118
970,0,117
971,0,117
973,0,117
974,0,116
975,0,116
977,0,116
978,0,115
980,0,115
982,0,115
983,0,114
985,0,114
986,0,114
988,0,113
989,0,113
990,0,113
992,0,112
993,0,112
995,0,112
996,0,111
997,0,111
999,0,111
1000,0,110
1002,0,110
1003,0,110
1004,0,109
1006,0,109
1007,0,109
1009,0,108
1010,0,108
1012,0,108
1013,0,107
1015,0,107
1016,0,106
1017,0,106
1019,0,106
1020,0,105
1022,0,105
1024,0,105
1026,0,104
1027,0,104
1029,0,103
1030,0,103
1031,0,103
1033,0,102
1034,0,102
1036,0,102
1037,0,101
1039,0,101
1040,0,100
1041,0,100
1043,0,100
1044,0,99
1046,0,99
1047,0,99
1049,0,98
1050,0,98
1051,0,97
1053,0,97
1054,0,97
1056,0,96
1057,0,96
1058,0,96
1060,0,95
1061,0,95
1062,0,95
1064,0,94
1065,0,94
1068,0,93
1069,0,93
1070,0,93
1072,0,92
1073,0,92
1075,0,91
1076,0,91
1077,0,91
1079,0,90
1080,0,90
1082,0,90
1083,0,89
1084,0,89
1086,0,88
1087,0,88
1089,0,88
1090,0,87
1091,0,87
1093,0,87
1094,0,86
1095,0,86
1097,0,85
1098,0,85
1100,0,85
1101,0,84
1102,0,84
1104,0,83
1105,0,83
1107,0,83
1108,0,82
1110,0,82
1112,0,81
1113,0,81
1115,0,81
1116,0,80
1117,0,80
1119,0,79
1120,0,79
1121,0,79
1123,0,78
1124,0,78
1126,0,77
1127,0,77
1128,0,77
1130,0,76
1131,0,76
1133,0,75
1134,0,75
1135,0,75
1137,0,74
1138,0,74
1140,0,73
1141,0,73
1142,0,72
1144,0,72
1145,0,72
1147,0,71
1148,0,71
1149,0,70
1152,0,70
1153,0,70
1154,0,69
1156,0,69
1157,0,68
1159,0,68
1160,0,67
1161,0,67
1163,0,67
1164,0,66
1166,0,66
1167,0,65
1168,0,65
1170,0,65
1171,0,64
1173,0,64
1174,0,63
1175,0,63
1177,0,62
1178,0,62
1180,0,62
1181,0,61
1182,0,61
1184,0,60
1185,0,60
1187,0,60
1188,0,59
1189,0,59
1191,0,58
1192,0,58
1193,0,57
1196,0,57
1197,0,57
1199,0,56
1200,0,56
1201,0,55
1203,0,55
1204,0,54
1206,0,54
1207,0,54
1208,0,53
1210,0,53
1211,0,52
1213,0,52
1214,0,52
1215,0,51
1217,0,51
1218,0,50
1220,0,50
1221,0,49
1222,0,49
1224,0,49
1225,0,48
1226,0,48
1228,0,47
1229,0,47
1231,0,47
1232,0,46
1233,0,46
1235,0,45
1236,0,45
1239,0,45
1240,0,44
1241,0,44
1243,0,43
1244,0,43
1246,0,43
1247,0,42
1248,0,42
1250,0,41
1251,0,41
1253,0,41
1254,0,40
1255,0,40
1257,0,40
1258,0,39
1259,0,39
1261,0,38
1262,0,38
1264,0,38
1265,0,37
1266,0,37
1268,0,37
1269,0,36
1271,0,36
1272,0,35
1273,0,35
1275,0,35
1276,0,34
1278,0,34
1280,0,34
1281,0,33
1283,0,33
1284,0,33
1286,0,32
1287,0,32
1288,0,31
1290,0,31
1291,0,31
1292,0,30
1294,0,30
1295,0,30
1297,0,29
1298,0,29
1299,0,29
1301,0,28
1302,0,28
1304,0,28
1305,0,28
1306,0,27
1308,0,27
1309,0,27
1311,0,26
1312,0,26
1313,0,26
1315,0,25
1316,0,25
1318,0,25
1319,0,24
1320,0,24
1323,0,24
1324,0,23
1326,0,23
1327,0,23
1328,0,23
1330,0,22
1331,0,22
1332,0,22
1334,0,21
1335,0,21
1337,0,21
1338,0,21
1339,0,20
1341,0,20
1342,0,20
1344,0,19
1345,0,19
1346,0,19
1348,0,19
1349,0,18
1351,0,18
1352,0,18
1353,0,18
1355,0,17
1356,0,17
1357,0,17
1359,0,17
1360,0,16
1362,0,16
1363,0,16
1364,0,16
1367,0,15
1368,0,15
1370,0,15
1371,0,15
1372,0,14
1374,0,14
1375,0,14
1377,0,14
1378,0,13
1379,0,13
1381,0,13
1382,0,13
1384,0,13
1385,0,12
1386,0,12
1388,0,12
1389,0,12
1390,0,11
1392,0,11
1393,0,11
1395,0,11
1396,0,11
1397,0,10
1399,0,10
1400,0,10
1402,0,10
1403,0,10
1404,0,9
1406,0,9
1408,0,9
1409,0,9
1411,0,9
1412,0,9
1413,0,8
1415,0,8
1416,0,8
1418,0,8
1419,0,8
1420,0,7
1422,0,7
1423,0,7
1424,0,7
1426,0,7
1427,0,7
1428,0,6
1430,0,6
1431,0,6
1432,0,6
1434,0,6
1435,0,6
1436,0,6
1438,0,5
1439,0,5
1440,0,5
1442,0,5
1443,0,5
1445,0,5
1446,0,5
1447,0,4
1449,0,4
1451,0,4
1452,0,4
1454,0,4
1455,0,4
1456,0,4
1458,0,4
1459,0,3
1460,0,3
1462,0,3
1463,0,3
1464,0,3
1466,0,3
1467,0,3
1468,0,3
1470,0,3
1471,0,2
1472,0,2
1474,0,2
1475,0,2
1476,0,2
1478,0,2
1479,0,2
1481,0,2
1482,0,2
1483,0,2
1485,0,1
1486,0,1
1487,0,1
1489,0,1
1490,0,1
1491,0,1
1494,0,1
1495,0,1
1496,0,1
1498,0,1
1499,0,1
1500,0,1
1502,0,0
1503,0,0
1504,0,0
1506,0,0
1507,0,0
1508,0,0
1510,0,0
1511,0,0
1513,0,0
1514,0,0
1515,0,0
1517,0,0
1518,0,0
1519,0,0
1521,0,0
1522,0,0
1523,0,0
1525,0,0
1526,0,0
1527,0,0
1529,0,0
1530,0,0
1531,0,0
1533,0,0
1534,0,0
1536,0,0
1538,0,0
1539,0,0
1540,0,0
1542,0,0
1543,0,0
1545,0,0
1546,0,0
1547,0,0
1549,0,0
1550,0,0
1551,0,0
1553,0,0
1554,0,0
1555,0,0
1557,0,0
1558,0,0
1559,0,0
1561,0,0
1562,0,0
1563,0,0
1565,0,0
1566,0,0
1567,0,0
1569,0,0
1570,0,0
1571,0,0
1573,0,0
1574,0,0
1576,0,0
1577,0,0
1579,0,0
1581,0,0
1582,0,0
1583,0,0
1585,0,0
1586,0,0
1587,0,0
1589,0,0
1590,0,0
1591,0,0
1593,0,0
1594,0,0
1595,0,0
1597,0,0
1598,0,1
1599,0,1
1601,0,1
1602,0,1
1603,0,1
1605,0,1
1606,0,1
1607,0,1
1609,0,1
1610,0,1
1612,0,1
1613,0,1
1614,0,1
1616,0,1
1617,0,1
1618,0,1
1620,0,1
1622,0,1
1623,0,1
1625,0,1
1626,0,1
1627,0,1
1629,0,1
1630,0,1
1631,0,1
1633,0,1
1634,0,1
1635,0,1
1637,0,1
1638,0,1
1639,0,1
1641,0,1
1642,0,1
1643,0,1
1645,0,1
1646,0,1
1648,0,1
1649,0,1
1650,0,1
1652,0,1
1653,0,1
1654,0,1
1656,0,1
1657,0,1
1658,0,1
1660,0,1
1661,0,1
1662,0,1
1665,0,1
1666,0,1
1667,0,1
1669,0,1
1670,0,1
1671,0,1
1673,0,1
1674,0,1
1675,0,1
1677,0,1
1678,0,1
1680,0,1
1681,0,1
1682,0,1
1684,0,1
1685,0,1
1686,0,1
1688,0,1
1689,0,1
1690,0,1
1692,0,1
1693,0,1
1694,0,1
1696,0,1
1697,0,1
1698,0,1
1700,0,1
1701,0,1
1702,0,1
1704,0,1
1705,0,1
1707,0,1
1709,0,1
1710,0,1
1711,0,1
1713,0,1
1714,0,1
1716,0,1
1717,0,1
1718,0,1
1720,0,1
1721,0,1
1722,0,1
1724,0,1
1725,0,1
1726,0,1
1728,0,1
1729,0,1
1730,0,1
1732,0,1
1733,0,1
1734,0,1
1736,0,1
1737,0,1
1738,0,1
1740,0,1
1741,0,1
1742,0,1
1744,0,1
1745,0,1
1747,0,1
1748,0,1
1750,0,1
1752,0,1
1753,0,1
1754,0,1
1756,0,1
1757,0,1
1758,0,1
1760,0,1
1761,0,1
1762,0,1
1764,0,1
1765,0,1
1766,0,1
1768,0,1
1769,0,1
1770,0,1
1772,0,1
1773,0,1
1774,0,1
1776,0,1
1777,0,1
1778,0,1
1780,0,1
1781,0,1
1783,0,1
1784,0,1
1785,0,1
1787,0,1
1788,0,1
1789,0,1
1792,0,1
1793,0,1
1794,0,1
1796,0,1
1797,0,1
1798,0,1
1800,0,1
1801,0,1
1802,0,1
1804,0,1
1805,0,1
1806,0,1
1808,0,1
1809,0,1
1810,0,1
1812,0,1
1813,0,1
1815,0,1
1816,0,1
1817,0,1
1819,0,1
1820,0,1
1821,0,1
1823,0,1
1824,0,1
1825,0,1
1827,0,1
1828,0,1
1829,0,1
1831,0,1
1832,0,1
1833,0,1
1836,0,1
1837,0,1
1838,0,1
1840,0,1
1841,0,1
1842,0,1
1844,0,1
1845,0,1
1847,0,1
1848,0,1
1849,0,1
1851,0,1
1852,0,1
1853,0,1
1855,0,1
1856,0,1
1857,0,1
1859,0,1
1860,0,1
1861,0,1
1863,0,1
1864,0,1
1865,0,1
1867,0,1
1868,0,1
1869,0,1
1871,0,1
1872,0,1
1873,0,1
1875,0,1
1876,0,1
1878,0,1
1880,0,1
1881,0,1
1883,0,1
1884,0,1
1885,0,1
1887,0,1
1888,0,1
1889,0,1
1891,0,1
1892,0,1
1893,0,1
1895,0,1
1896,0,1
1897,0,1
1899,0,1
1900,0,1
1901,0,1
1903,0,1
1904,0,1
1905,0,1
1907,0,1
1908,0,1
1909,0,1
1911,0,1
1912,0,1
1914,0,1
1915,0,1
1916,0,1
1918,0,1
1920,0,1
1921,0,1
1923,0,1
1924,0,1
1925,0,1
1927,0,1
1928,0,1
1929,0,1
1931,0,1
1932,0,1
1933,0,1
1935,0,1
1936,0,1
1937,0,1
1939,0,1
1940,0,1
1941,0,1
1943,0,1
1944,0,1
1946,0,1
1947,0,1
1948,0,1
1950,0,1
1951,0,1
1952,0,1
1954,0,1
1955,0,1
1956,0,1
1958,0,1
1959,0,1
1960,0,1
1963,0,1
1964,0,1
1965,0,1
1967,0,1
1968,0,1
1969,0,1
1971,0,1
1972,0,1
1973,0,1
1975,0,1
1976,0,1
1978,0,1
1979,0,1
1980,0,1
1982,0,1
1983,0,1
1984,0,1
1986,0,1
1987,0,1
1988,0,1
1990,0,1
1991,0,1
1992,0,1
1994,0,1
1995,0,1
1996,0,1
1998,0,1
1999,0,1
2000,0,1
2002,0,1
2003,0,1
2004,0,1
2007,0,1
2008,0,1
2009,0,1
2011,0,1
2012,0,1
2014,0,1
2015,0,1
2016,0,1
2018,0,1
2019,0,1
2020,0,1
2022,0,1
2023,0,1
2024,0,1
2026,0,1
2027,0,1
2028,0,1
2030,0,1
2031,0,1
2032,0,1
2034,0,1
2035,0,1
2036,0,1
2038,0,1
2039,0,1
2040,0,1
2042,0,1
2043,0,1
2045,0,1
2046,0,1
2048,0,1
2050,0,1
2051,0,1
2052,0,1
2054,0,1
2055,0,1
2056,0,1
2058,0,1
2059,0,1
2060,0,1
2062,0,1
2063,0,1
2064,0,1
2066,0,1
2067,0,1
2068,0,1
2070,0,1
2071,0,1
2072,0,1
2074,0,1
2075,0,1
2077,0,1
2078,0,1
2079,0,1
2081,0,1
2082,0,1
2083,0,1
2085,0,1
2086,0,1
2087,0,1
2089,0,1
2091,0,1
2092,0,1
2094,0,1
2095,0,1
2096,0,1
2098,0,1
2099,0,1
2100,0,1
2102,0,1
2103,0,1
2104,0,1
2106,0,1
2107,0,1
2108,0,1
2110,0,1
2111,0,1
2113,0,1
2114,0,1
2115,0,1
2117,0,1
2118,0,1
2119,0,1
2121,0,1
2122,0,1
2123,0,1
2125,0,1
2126,0,1
2127,0,1
2129,0,1
2130,0,1
2131,0,1
2134,0,1
2135,0,1
2136,0,1
2138,0,1
2139,0,1
2140,0,1
2142,0,1
2143,0,1
2145,0,1
2146,0,1
2147,0,1
2149,0,1
2150,0,1
2151,0,1
2153,0,1
2154,0,1
2155,0,1
2157,0,1
2158,0,1
2159,0,1
2161,0,1
2162,0,1
2163,0,1
2165,0,1
2166,0,1
2167,0,1
2169,0,1
2170,0,1
2171,0,1
2173,0,1
2174,0,1
2177,0,1
2178,0,1
2179,0,1
2181,0,1
2182,0,1
2183,0,1
2185,0,1
2186,0,1
2187,0,1
2189,0,1
2190,0,1
2191,0,1
2193,0,1
2194,0,1
2195,0,1
2197,0,1
2198,0,1
2199,0,1
2201,0,1
2202,0,1
2203,0,1
2205,0,1
2206,0,1
2208,0,1
2209,0,1
2210,0,1
2212,0,1
2213,0,1
2214,0,1
2216,0,1
2217,0,1
2219,0,1
2221,0,1
2222,0,1
2223,0,1
2225,0,1
2226,0,1
2227,0,1
2229,0,1
2230,0,1
2231,0,1
2233,0,1
2234,0,1
2235,0,1
2237,0,1
2238,0,1
2239,0,1
2241,0,1
2242,0,1
2244,0,1
2245,0,1
2246,0,1
2248,0,1
2249,0,1
2250,0,1
2252,0,1
2253,0,1
2254,0,1
2256,0,1
2257,0,1
2258,0,1
2260,0,1
2262,0,1
2263,0,1
2265,0,1
2266,0,1
2267,0,1
2269,0,1
2270,0,1
2271,0,1
2273,0,1
2274,0,1
2276,0,1
2277,0,1
2278,0,1
2280,0,1
2281,0,1
2282,0,1
2284,0,1
2285,0,1
2286,0,1
2288,0,1
2289,0,1
2290,0,1
2292,0,1
2293,0,1
2294,0,1
2296,0,1
2297,0,1
2298,0,1
2300,0,1
2301,0,1
2302,0,1
2305,0,1
2306,0,1
2308,0,1
2309,0,1
2310,0,1
2312,0,1
2313,0,1
2314,0,1
2316,0,1
2317,0,1
2318,0,1
2320,0,1
2321,0,1
2322,0,1
2324,0,1
2325,0,1
2326,0,1
2328,0,1
2329,0,1
2330,0,1
2332,0,1
2333,0,1
2334,0,1
2336,0,1
2337,0,1
2339,0,1
2340,0,1
