timestamp,target,current,pwm
1771625885.6144361,135,1,255
1771625885.617998,135,1,255
1771625885.6183312,135,1,255
1771625885.6186619,135,1,255
1771625885.6190057,135,3,255
1771625885.622111,135,3,255
1771625885.6222916,135,3,255
1771625885.6224344,135,3,255
1771625885.6225832,135,4,255
1771625885.6261606,135,4,255
1771625885.6265123,135,6,255
1771625885.6268444,135,6,255
1771625885.6273282,135,6,255
1771625885.6302464,135,7,255
1771625885.6305158,135,7,255
1771625885.6306884,135,9,255
1771625885.6308718,135,9,255
1771625885.6343007,135,10,255
1771625885.6345158,135,10,255
1771625885.6346703,135,12,255
1771625885.6348207,135,13,255
1771625885.638354,135,13,255
1771625885.638625,135,15,255
1771625885.6388414,135,15,255
1771625885.639292,135,16,255
1771625885.642483,135,18,255
1771625885.6427824,135,18,255
1771625885.6431835,135,19,255
1771625885.6435673,135,21,255
1771625885.6465664,135,21,255
1771625885.6467772,135,22,255
1771625885.6470025,135,24,255
1771625885.647217,135,24,255
1771625885.6506896,135,25,255
1771625885.650868,135,27,255
1771625885.6510713,135,28,255
1771625885.6512907,135,28,255
1771625885.654771,135,30,255
1771625885.6549916,135,31,255
1771625885.6552007,135,31,255
1771625885.6554058,135,33,255
1771625885.658882,135,34,255
1771625885.6591263,135,36,255
1771625885.6593368,135,37,255
1771625885.6595051,135,37,255
1771625885.6629562,135,39,255
1771625885.6631737,135,40,255
1771625885.6633787,135,42,255
1771625885.6635842,135,42,255
1771625885.6670702,135,43,255
1771625885.66728,135,45,255
1771625885.6674752,135,46,255
1771625885.66767,135,48,255
1771625885.6711128,135,48,255
1771625885.6715415,135,49,255
1771625885.6719172,135,51,255
1771625885.672278,135,52,255
1771625885.6751919,135,54,255
1771625885.6753793,135,55,255
1771625885.675529,135,55,255
1771625885.6756778,135,57,255
1771625885.6792781,135,58,255
1771625885.6795268,135,60,255
1771625885.6797523,135,61,255
1771625885.6799004,135,61,255
1771625885.6834128,135,63,255
1771625885.6836147,135,64,255
1771625885.683773,135,66,255
1771625885.6839352,135,67,255
1771625885.6875074,135,69,255
1771625885.6877613,135,69,255
1771625885.687966,135,70,255
1771625885.6882029,135,72,255
1771625885.6916087,135,73,255
1771625885.691839,135,75,255
1771625885.692035,135,76,255
1771625885.692194,135,76,255
1771625885.695684,135,78,255
1771625885.6959045,135,79,255
1771625885.6961162,135,81,255
1771625885.69632,135,82,255
1771625885.699908,135,84,255
1771625885.7004678,135,85,255
1771625885.7008889,135,85,255
1771625885.7012584,135,87,255
1771625885.7014158,135,88,255
1771625885.7048767,135,90,255
1771625885.7050543,135,91,255
1771625885.7052212,135,93,255
1771625885.7053745,135,93,255
1771625885.7082114,135,94,255
1771625885.7084312,135,96,255
1771625885.7086115,135,97,255
1771625885.7089067,135,99,255
1771625885.712236,135,100,255
1771625885.712401,135,100,255
1771625885.7125645,135,102,255
1771625885.7162857,135,103,255
1771625885.7165656,135,105,255
1771625885.7168298,135,106,255
1771625885.717247,135,108,255
1771625885.7204244,135,108,255
1771625885.7206597,135,109,255
1771625885.7208781,135,111,240
1771625885.7210977,135,112,225
1771625885.7246015,135,114,210
1771625885.7248511,135,114,210
1771625885.7250762,135,115,195
1771625885.7285278,135,117,180
1771625885.7287858,135,118,165
1771625885.7290435,135,120,150
1771625885.7292645,135,121,135
1771625885.7329862,135,121,135
1771625885.7332177,135,123,120
1771625885.733439,135,124,105
1771625885.733645,135,126,90
1771625885.7374358,135,126,90
1771625885.7378454,135,127,75
1771625885.7382739,135,129,60
1771625885.73864,135,129,60
1771625885.7412865,135,130,45
1771625885.7416651,135,132,30
1771625885.742023,135,133,15
1771625885.7422917,135,133,15
1771625885.7451255,135,135,0
1771625885.7453675,135,136,15
1771625885.7455988,135,136,15
1771625885.7458038,135,138,30
1771625885.7490647,135,139,45
1771625885.7492795,135,139,45
1771625885.7494729,135,141,60
1771625885.7496362,135,141,60
1771625885.7533789,135,142,75
1771625885.753749,135,142,75
1771625885.75415,135,144,90
1771625885.7543218,135,145,105
1771625885.757269,135,145,105
1771625885.7575233,135,147,120
1771625885.7577548,135,147,120
1771625885.7579477,135,148,135
1771625885.761508,135,148,135
1771625885.7619143,135,150,150
1771625885.7620807,135,150,150
1771625885.7654574,135,150,150
1771625885.765705,135,151,165
1771625885.7659416,135,151,165
1771625885.7661765,135,153,180
1771625885.7700548,135,153,180
1771625885.7706747,135,153,180
1771625885.7710142,135,153,180
1771625885.7712388,135,154,195
1771625885.7737217,135,154,195
1771625885.7739453,135,154,195
1771625885.7741618,135,154,195
1771625885.777655,135,154,195
1771625885.777953,135,154,195
1771625885.7782118,135,154,195
1771625885.778485,135,154,195
1771625885.7818015,135,154,195
1771625885.7820492,135,154,195
1771625885.7822728,135,154,195
1771625885.7824955,135,153,180
1771625885.7859926,135,153,180
1771625885.786279,135,153,180
1771625885.7865343,135,153,180
1771625885.7899005,135,153,180
1771625885.7901635,135,153,180
1771625885.790393,135,151,165
1771625885.7906148,135,151,165
1771625885.7941294,135,151,165
1771625885.79452,135,151,165
1771625885.7949066,135,150,150
1771625885.795135,135,150,150
1771625885.7984238,135,150,150
1771625885.7988257,135,150,150
1771625885.7992647,135,148,135
1771625885.7996347,135,148,135
1771625885.802325,135,148,135
1771625885.8024924,135,147,120
1771625885.802653,135,147,120
1771625885.806437,135,147,120
1771625885.8068588,135,145,105
1771625885.8072627,135,145,105
1771625885.8076484,135,145,105
1771625885.8104672,135,144,90
1771625885.810764,135,144,90
1771625885.8111286,135,144,90
1771625885.8114853,135,142,75
1771625885.8147087,135,142,75
1771625885.815098,135,142,75
1771625885.8157353,135,142,75
1771625885.8161798,135,141,60
1771625885.8188074,135,141,60
1771625885.8192272,135,141,60
1771625885.819618,135,139,45
1771625885.8199744,135,139,45
1771625885.8229315,135,139,45
1771625885.8233094,135,138,30
1771625885.8236747,135,138,30
1771625885.823877,135,138,30
1771625885.827009,135,136,15
1771625885.8273792,135,136,15
1771625885.8277442,135,136,15
1771625885.828078,135,135,0
1771625885.8311658,135,135,0
1771625885.8318255,135,135,0
1771625885.8323042,135,133,15
1771625885.8324962,135,133,15
1771625885.8350868,135,133,15
1771625885.8353326,135,132,30
1771625885.835568,135,132,30
1771625885.8357816,135,132,30
1771625885.8390543,135,132,30
1771625885.839416,135,130,45
1771625885.8397756,135,130,45
1771625885.840184,135,130,45
1771625885.8431766,135,129,60
1771625885.8433976,135,129,60
1771625885.8436012,135,129,60
1771625885.8438041,135,127,75
1771625885.8473437,135,127,75
1771625885.8476074,135,127,75
1771625885.8478389,135,126,90
1771625885.8480873,135,126,90
1771625885.8513885,135,126,90
1771625885.8516786,135,124,105
1771625885.851933,135,124,105
1771625885.8521829,135,124,105
1771625885.8555486,135,123,120
1771625885.8559387,135,123,120
1771625885.8562217,135,123,120
1771625885.856393,135,123,120
1771625885.8597426,135,121,135
1771625885.8599737,135,121,135
1771625885.8601973,135,121,135
1771625885.863623,135,121,135
1771625885.8639226,135,120,150
1771625885.8641782,135,120,150
1771625885.864429,135,120,150
1771625885.8677747,135,120,150
1771625885.8679423,135,118,165
1771625885.868103,135,118,165
1771625885.8682659,135,118,165
1771625885.872048,135,118,165
1771625885.872449,135,118,165
1771625885.8728397,135,118,165
1771625885.8731012,135,117,180
1771625885.8763318,135,117,180
1771625885.8765955,135,117,180
1771625885.876794,135,117,180
1771625885.880089,135,117,180
1771625885.8802893,135,117,180
1771625885.8804593,135,117,180
1771625885.8806243,135,117,180
1771625885.8842254,135,117,180
1771625885.8844635,135,117,180
1771625885.8846912,135,117,180
1771625885.884911,135,117,180
1771625885.8883946,135,117,180
1771625885.8887186,135,117,180
1771625885.8891072,135,117,180
1771625885.892405,135,117,180
1771625885.8930628,135,117,180
1771625885.8934515,135,117,180
1771625885.8936193,135,117,180
1771625885.8965075,135,118,165
1771625885.8967576,135,118,165
1771625885.8969564,135,118,165
1771625885.8971353,135,118,165
1771625885.9008172,135,118,165
1771625885.9015372,135,118,165
1771625885.9018471,135,118,165
1771625885.9020696,135,118,165
1771625885.9486485,135,118,165
1771625885.9488294,135,120,150
1771625885.94899,135,120,150
1771625885.9491487,135,120,150
1771625885.949306,135,120,150
1771625885.9495406,135,120,150
1771625885.949696,135,120,150
1771625885.9498527,135,120,150
1771625885.9500191,135,120,150
1771625885.9501746,135,120,150
1771625885.9503307,135,120,150
1771625885.950492,135,121,135
1771625885.9506495,135,121,135
1771625885.9508033,135,121,135
1771625885.9509625,135,121,135
1771625885.9511158,135,121,135
1771625885.9512687,135,121,135
1771625885.9514227,135,121,135
1771625885.9515746,135,121,135
1771625885.9517272,135,121,135
1771625885.951879,135,121,135
1771625885.952033,135,121,135
1771625885.952185,135,121,135
1771625885.9523375,135,121,135
1771625885.9524913,135,121,135
1771625885.952642,135,121,135
1771625885.9527924,135,121,135
1771625885.952942,135,123,120
